trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9960079893439915}",20,5,-104.95514982871627,"{0: 7, 1: 1, 2: 5, 3: 1, 4: 1}",1
2,False,"{'a': 0.6, 'e': 0.9940179640539353}",20,0,-82.85688904591167,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.9920319148370607}",25,0,-71.41404959907436,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.9900498337491681}",25,0,-113.9884721870431,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.9880717128619305}",20,0,-89.87665838715989,"{0: 9, 1: 8, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.9860975442628619}",20,0,-175.1976494630058,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.9841273200552851}",25,0,-169.23866181648532,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.9821610323583008}",20,2,7.468705382375877,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.6, 'e': 0.9801986733067553}",20,0,-85.76026135453776,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.97824023505121}",30,0,-109.104182083279,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.9762857097579093}",30,0,-241.20285224140866,"{0: 13, 1: 9, 2: 3, 3: 1, 4: 4}",0
12,False,"{'a': 0.6, 'e': 0.9743350896087494}",20,0,-99.33814007215794,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.6, 'e': 0.9723883668012469}",20,0,-72.02508390535556,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.9704455335485082}",20,0,-231.35211811780178,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 5}",0
15,False,"{'a': 0.6, 'e': 0.9685065820791976}",25,0,-192.27275455383585,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
