trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.75281070568838,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-94.06930642248113,"{0: 21, 1: 6, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.0710380555735,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.4432526145691,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.15430354947924,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.67548100164842,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.9342634210951,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,2,-187.02773377509612,"{0: 6, 1: 3, 2: 6, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.15663838815655,"{0: 19, 1: 2, 2: 0, 3: 4, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.9282803119274,"{0: 14, 1: 4, 2: 8, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.35618382650068,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.748990817362,"{0: 11, 1: 3, 2: 7, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.56273428529467,"{0: 15, 1: 7, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.34657495187956,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,3,-84.71695172724554,"{0: 12, 1: 6, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-160.6678194631783,"{0: 20, 1: 7, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,8,-52.0611304527833,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.7227066286811,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.2894119489411,"{0: 16, 1: 1, 2: 12, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.191625715008,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-162.09396744485386,"{0: 13, 1: 8, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.93451391646381,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,13,-57.67784906717695,"{0: 7, 1: 1, 2: 2, 3: 2, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-167.926970238586,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.7733117541283,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.8510022274208,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.88550190804696,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.016623399127646,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.27723141510484,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,4,-27.584507738295773,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
